Age_Group,Gender,Emirate,Occupation,Income,Family_Size,Education,Purchase_Location,Purchase_Frequency,Products_Bought,Monthly_Spending_Range,Uses_Eco_Products,Preferred_Packaging,Importance_Convenience,Importance_Price,Importance_Sustainability,Aware_Plastic_Ban,Reduce_Waste_Score,Eco_Brand_Preference,Follow_Campaigns,Social_Influence_Score,Used_Refill_Before,Try_Refill_Likelihood,Preferred_Payment_Mode,Refill_Location,Container_Type,Refill_Combos,Preferred_Scents,Interest_Non_Liquids,Discount_Switch,Willingness_to_Pay_AED,Usage_Frequency,Likely_to_Use_ReFillHub
25-34,Male,Sharjah,Entrepreneur,>40000,3-4,Postgraduate,Other,Monthly,"Cooking Oil, Surface Cleaner, Body Wash",200-400,Yes,Plastic,4,5,3,Yes,5,2,No,3,Yes,3,Mobile App,Supermarkets,Bring my own,"Cooking Oil + Vinegar, Shampoo + Conditioner","Herbal, Citrus",No,<5%,200.97,Twice,Yes
55+,Male,Abu Dhabi,Other,<5000,3-4,Undergraduate,Online,Bi-weekly,"Conditioner, Detergent, Cooking Oil",200-400,No,Biodegradable,4,4,3,Yes,3,5,Yes,3,No,3,Cash,Malls,Bring my own,"Cooking Oil + Vinegar, Surface Cleaner + Air Freshener","Citrus, Fresh Linen, Herbal",Yes,5-10%,24.82,More than 4x,Yes
25-34,Female,Ajman,Other,>40000,3-4,High School,Hypermarket,Monthly,"Cooking Oil, Surface Cleaner, Conditioner, Fabric Softener, Detergent",50-100,Yes,Plastic,3,4,4,Yes,2,3,No,2,No,2,Card,Supermarkets,Buy branded bottle once,"Detergent + Fabric Softener, Cooking Oil + Vinegar, Shampoo + Conditioner","Herbal, Citrus",Yes,10-20%,199.4,Twice,Yes
35-44,Female,Ajman,Professional,10000-20000,5+,High School,Supermarket,Bi-weekly,"Detergent, Surface Cleaner, Hand Wash",50-100,No,Glass,5,3,3,Yes,4,3,No,1,No,2,Card,Gyms,Bring my own,"Detergent + Fabric Softener, Shampoo + Conditioner","Floral, Fresh Linen, Unscented",Maybe,>20%,95.86,Weekly,No
45-54,Female,Dubai,Professional,5000-10000,1-2,Undergraduate,Hypermarket,Monthly,"Cooking Oil, Detergent, Fabric Softener, Surface Cleaner",50-100,No,Plastic,3,5,3,No,3,2,No,3,No,2,Card,Malls,Use disposable option,"Shampoo + Conditioner, Surface Cleaner + Air Freshener","Citrus, Herbal, Floral",Maybe,5-10%,63.37,Weekly,No
25-34,Female,Dubai,Professional,<5000,5+,Undergraduate,Online,Weekly,"Hand Wash, Detergent, Conditioner, Shampoo",>400,Yes,Glass,3,4,5,Yes,3,5,Yes,4,No,5,Mobile App,Malls,Buy branded bottle once,"Hand Wash + Sanitizer, Cooking Oil + Vinegar, Surface Cleaner + Air Freshener","Unscented, Herbal, Floral",Yes,10-20%,43.27,Weekly,No
35-44,Female,Abu Dhabi,Entrepreneur,10000-20000,3-4,Postgraduate,Supermarket,Monthly,"Fabric Softener, Sanitizer, Shampoo, Surface Cleaner",50-100,Yes,Plastic,3,5,3,Yes,3,3,No,5,No,2,Card,Supermarkets,Bring my own,"Shampoo + Conditioner, Cooking Oil + Vinegar","Floral, Fresh Linen",Yes,10-20%,78.44,Twice,No
25-34,Male,Ajman,Student,20000-40000,3-4,High School,Supermarket,Bi-weekly,"Conditioner, Body Wash, Cooking Oil, Sanitizer, Surface Cleaner",100-200,Yes,Plastic,5,3,4,Yes,4,5,Yes,1,No,3,Mobile App,Gyms,Bring my own,"Detergent + Fabric Softener, Shampoo + Conditioner","Citrus, Herbal, Unscented",Maybe,5-10%,137.85,Twice,No
35-44,Male,Dubai,Professional,20000-40000,1-2,Postgraduate,Hypermarket,Bi-weekly,"Hand Wash, Shampoo, Body Wash",<50,No,No preference,3,5,3,Yes,2,2,No,1,No,3,Mobile App,Residential Lobbies,Use disposable option,"Shampoo + Conditioner, Hand Wash + Sanitizer, Cooking Oil + Vinegar","Fresh Linen, Floral",Yes,10-20%,111.44,Weekly,No
35-44,Male,Abu Dhabi,Homemaker,<5000,3-4,Undergraduate,Hypermarket,Bi-weekly,"Detergent, Body Wash, Surface Cleaner",100-200,Occasionally,Plastic,3,3,5,Yes,4,2,Yes,3,No,5,Card,Gyms,Bring my own,"Surface Cleaner + Air Freshener, Shampoo + Conditioner, Hand Wash + Sanitizer","Herbal, Floral",Maybe,>20%,21.41,Twice,Yes
35-44,Female,Abu Dhabi,Professional,<5000,3-4,Undergraduate,Online,Monthly,"Fabric Softener, Detergent, Hand Wash, Conditioner, Body Wash",100-200,No,Biodegradable,4,3,4,Yes,4,5,Yes,3,No,5,Mobile App,Supermarkets,Buy branded bottle once,"Surface Cleaner + Air Freshener, Hand Wash + Sanitizer","Unscented, Citrus, Floral",Maybe,>20%,19.2,More than 4x,Yes
18-24,Male,Sharjah,Professional,10000-20000,1-2,Undergraduate,Supermarket,Bi-weekly,"Sanitizer, Body Wash, Surface Cleaner, Cooking Oil, Hand Wash",>400,No,No preference,3,3,3,No,2,4,Yes,3,No,4,Subscription,Malls,Bring my own,"Surface Cleaner + Air Freshener, Cooking Oil + Vinegar","Fresh Linen, Citrus",Yes,>20%,70.04,More than 4x,No
45-54,Female,Dubai,Professional,5000-10000,3-4,Undergraduate,Hypermarket,Bi-weekly,"Shampoo, Conditioner, Surface Cleaner, Detergent, Sanitizer",100-200,Yes,Plastic,4,4,4,Unsure,4,2,Yes,4,No,5,Card,Residential Lobbies,Use disposable option,"Hand Wash + Sanitizer, Shampoo + Conditioner, Detergent + Fabric Softener","Citrus, Unscented, Fresh Linen",Maybe,5-10%,50.41,Weekly,Yes
25-34,Female,Sharjah,Student,5000-10000,5+,Undergraduate,Supermarket,Quarterly,"Sanitizer, Cooking Oil, Hand Wash",200-400,Yes,Biodegradable,4,2,3,No,5,2,No,2,No,4,Mobile App,Supermarkets,Buy branded bottle once,"Detergent + Fabric Softener, Shampoo + Conditioner, Cooking Oil + Vinegar","Citrus, Herbal, Floral",Maybe,>20%,52.04,More than 4x,No
25-34,Female,Ajman,Professional,5000-10000,1-2,Undergraduate,Online,Monthly,"Detergent, Body Wash, Shampoo, Hand Wash, Surface Cleaner",100-200,Yes,Plastic,4,2,5,Yes,4,2,No,3,No,2,Mobile App,Residential Lobbies,Bring my own,"Surface Cleaner + Air Freshener, Cooking Oil + Vinegar","Fresh Linen, Citrus, Herbal",Maybe,5-10%,54.31,Twice,Yes
18-24,Male,Dubai,Professional,20000-40000,3-4,High School,Supermarket,Quarterly,"Body Wash, Detergent, Conditioner, Fabric Softener",<50,Yes,Plastic,5,4,3,Yes,3,2,No,2,No,3,Mobile App,Supermarkets,Bring my own,"Detergent + Fabric Softener, Shampoo + Conditioner, Surface Cleaner + Air Freshener","Citrus, Unscented",Yes,10-20%,137.45,Weekly,No
35-44,Female,Dubai,Student,>40000,3-4,High School,Supermarket,Bi-weekly,"Detergent, Fabric Softener, Sanitizer, Cooking Oil, Shampoo",50-100,Yes,Glass,4,5,4,Yes,4,5,No,2,No,4,Cash,Residential Lobbies,Buy branded bottle once,"Shampoo + Conditioner, Surface Cleaner + Air Freshener, Cooking Oil + Vinegar","Fresh Linen, Floral, Unscented",Yes,>20%,184.75,Twice,No
35-44,Male,Others,Student,10000-20000,3-4,Undergraduate,Supermarket,Bi-weekly,"Conditioner, Hand Wash, Surface Cleaner",100-200,No,No preference,3,4,4,No,3,5,No,1,No,4,Subscription,Residential Lobbies,Use disposable option,"Detergent + Fabric Softener, Shampoo + Conditioner, Surface Cleaner + Air Freshener","Citrus, Unscented, Herbal",No,<5%,62.95,Weekly,Yes
18-24,Female,Dubai,Homemaker,>40000,3-4,Postgraduate,Online,Monthly,"Cooking Oil, Hand Wash, Fabric Softener",>400,No,Plastic,3,5,4,Unsure,4,5,Yes,5,No,4,Mobile App,Residential Lobbies,Bring my own,"Cooking Oil + Vinegar, Hand Wash + Sanitizer","Floral, Herbal",Yes,10-20%,175.58,Weekly,No
35-44,Male,Ajman,Professional,5000-10000,1-2,Undergraduate,Supermarket,Bi-weekly,"Hand Wash, Detergent, Shampoo, Conditioner, Sanitizer",200-400,Occasionally,Aluminum,4,3,3,Yes,3,5,Yes,5,No,5,Mobile App,Malls,Buy branded bottle once,"Hand Wash + Sanitizer, Surface Cleaner + Air Freshener, Detergent + Fabric Softener","Floral, Fresh Linen, Citrus",Yes,10-20%,41.58,Once,No
25-34,Male,Abu Dhabi,Professional,10000-20000,1-2,Postgraduate,Online,Monthly,"Surface Cleaner, Detergent, Body Wash",50-100,Yes,Glass,4,4,3,Yes,3,4,Yes,4,No,5,Mobile App,Residential Lobbies,Bring my own,"Hand Wash + Sanitizer, Shampoo + Conditioner, Surface Cleaner + Air Freshener","Unscented, Herbal, Citrus",Yes,10-20%,70.56,Twice,Yes
35-44,Female,Dubai,Professional,5000-10000,1-2,Postgraduate,Online,Bi-weekly,"Sanitizer, Surface Cleaner, Detergent, Cooking Oil",50-100,No,Biodegradable,3,2,3,Yes,3,5,Yes,4,Yes,5,Mobile App,Supermarkets,Use disposable option,"Shampoo + Conditioner, Cooking Oil + Vinegar, Detergent + Fabric Softener","Citrus, Floral, Herbal",No,5-10%,43.02,Weekly,No
25-34,Male,Ajman,Other,10000-20000,1-2,Postgraduate,Online,Bi-weekly,"Cooking Oil, Hand Wash, Sanitizer, Conditioner",50-100,Occasionally,Plastic,4,5,5,No,2,5,Yes,5,No,4,Card,Malls,Buy branded bottle once,"Shampoo + Conditioner, Hand Wash + Sanitizer, Cooking Oil + Vinegar","Herbal, Floral, Fresh Linen",Yes,>20%,63.61,Weekly,Yes
35-44,Male,Dubai,Professional,>40000,3-4,Postgraduate,Online,Weekly,"Body Wash, Conditioner, Hand Wash, Shampoo, Detergent",>400,No,Biodegradable,5,4,5,No,4,2,Yes,5,No,2,Subscription,Gyms,Bring my own,"Detergent + Fabric Softener, Surface Cleaner + Air Freshener, Hand Wash + Sanitizer","Unscented, Herbal",Yes,10-20%,200.89,Once,No
25-34,Female,Abu Dhabi,Professional,10000-20000,5+,Undergraduate,Hypermarket,Bi-weekly,"Detergent, Body Wash, Fabric Softener, Hand Wash",200-400,Yes,Biodegradable,4,4,5,Yes,4,4,Yes,1,No,3,Cash,Supermarkets,Bring my own,"Hand Wash + Sanitizer, Cooking Oil + Vinegar, Surface Cleaner + Air Freshener","Herbal, Fresh Linen, Floral",Yes,5-10%,71.13,Weekly,Yes
55+,Female,Dubai,Homemaker,5000-10000,5+,Postgraduate,Supermarket,Weekly,"Shampoo, Detergent, Surface Cleaner, Sanitizer",200-400,Yes,Biodegradable,5,5,4,Unsure,5,2,Yes,1,Yes,5,Card,Supermarkets,Bring my own,"Hand Wash + Sanitizer, Surface Cleaner + Air Freshener","Floral, Citrus, Herbal",Maybe,<5%,41.15,Weekly,No
18-24,Female,Abu Dhabi,Homemaker,10000-20000,3-4,Postgraduate,Online,Weekly,"Cooking Oil, Body Wash, Surface Cleaner, Hand Wash",100-200,Yes,No preference,5,3,4,Yes,5,4,No,5,No,2,Card,Residential Lobbies,Buy branded bottle once,"Hand Wash + Sanitizer, Shampoo + Conditioner","Fresh Linen, Floral, Unscented",No,>20%,76.51,Weekly,Yes
25-34,Female,Dubai,Student,<5000,1-2,Undergraduate,Supermarket,Quarterly,"Sanitizer, Fabric Softener, Body Wash, Conditioner",100-200,Yes,Biodegradable,5,3,4,Unsure,5,3,Yes,3,No,5,Subscription,Malls,Bring my own,"Shampoo + Conditioner, Cooking Oil + Vinegar, Detergent + Fabric Softener","Herbal, Fresh Linen",Yes,<5%,19.27,Weekly,Yes
18-24,Female,Dubai,Homemaker,20000-40000,3-4,Undergraduate,Supermarket,Bi-weekly,"Surface Cleaner, Fabric Softener, Sanitizer",100-200,Occasionally,Plastic,4,3,4,Unsure,4,4,Yes,3,Yes,5,Card,Malls,Bring my own,"Surface Cleaner + Air Freshener, Cooking Oil + Vinegar, Shampoo + Conditioner","Citrus, Floral, Fresh Linen",Maybe,5-10%,131.57,Twice,No
55+,Male,Others,Professional,10000-20000,3-4,High School,Online,Monthly,"Fabric Softener, Shampoo, Cooking Oil, Conditioner",50-100,Yes,Glass,5,3,4,No,2,4,Yes,1,Yes,4,Mobile App,Malls,Use disposable option,"Shampoo + Conditioner, Cooking Oil + Vinegar, Detergent + Fabric Softener","Unscented, Citrus",Yes,10-20%,73.36,Weekly,Yes
45-54,Male,Dubai,Professional,10000-20000,1-2,Postgraduate,Online,Monthly,"Fabric Softener, Sanitizer, Detergent, Conditioner",100-200,Yes,Glass,5,5,3,Yes,3,2,Yes,2,No,4,Card,Supermarkets,Buy branded bottle once,"Hand Wash + Sanitizer, Surface Cleaner + Air Freshener, Shampoo + Conditioner","Herbal, Fresh Linen",No,10-20%,71.5,More than 4x,No
25-34,Male,Abu Dhabi,Student,10000-20000,3-4,Postgraduate,Local Store,Monthly,"Conditioner, Hand Wash, Body Wash, Detergent",<50,Occasionally,Plastic,4,2,4,Yes,4,4,Yes,5,No,5,Card,Malls,Buy branded bottle once,"Cooking Oil + Vinegar, Surface Cleaner + Air Freshener","Citrus, Floral, Fresh Linen",Maybe,10-20%,77.62,Weekly,Yes
35-44,Female,Dubai,Student,10000-20000,3-4,High School,Online,Weekly,"Detergent, Body Wash, Cooking Oil, Surface Cleaner",50-100,Occasionally,Glass,5,4,3,Yes,2,4,Yes,4,Yes,3,Card,Residential Lobbies,Bring my own,"Surface Cleaner + Air Freshener, Cooking Oil + Vinegar, Detergent + Fabric Softener","Floral, Fresh Linen, Citrus",Maybe,10-20%,54.94,Weekly,No
45-54,Female,Sharjah,Entrepreneur,<5000,3-4,Undergraduate,Other,Monthly,"Shampoo, Cooking Oil, Fabric Softener, Sanitizer",200-400,No,Glass,4,4,5,Yes,2,2,Yes,3,No,5,Mobile App,Supermarkets,Bring my own,"Detergent + Fabric Softener, Cooking Oil + Vinegar","Herbal, Citrus, Fresh Linen",Yes,>20%,37.14,Weekly,No
35-44,Male,Dubai,Professional,10000-20000,3-4,Undergraduate,Supermarket,Monthly,"Detergent, Sanitizer, Surface Cleaner, Fabric Softener, Body Wash",200-400,No,Glass,3,3,5,No,4,3,Yes,2,No,3,Card,Supermarkets,Bring my own,"Hand Wash + Sanitizer, Detergent + Fabric Softener, Surface Cleaner + Air Freshener","Unscented, Fresh Linen, Herbal",Maybe,>20%,82.85,Twice,Yes
35-44,Female,Others,Professional,5000-10000,5+,High School,Supermarket,Monthly,"Sanitizer, Cooking Oil, Body Wash",100-200,Yes,No preference,5,5,5,Yes,3,3,Yes,3,No,2,Mobile App,Residential Lobbies,Buy branded bottle once,"Shampoo + Conditioner, Hand Wash + Sanitizer","Citrus, Floral, Fresh Linen",Maybe,5-10%,42.07,Weekly,No
25-34,Female,Abu Dhabi,Entrepreneur,20000-40000,3-4,Doctorate,Supermarket,Monthly,"Sanitizer, Shampoo, Cooking Oil, Hand Wash",100-200,Yes,Plastic,4,2,5,Yes,2,3,Yes,2,No,5,Mobile App,Malls,Buy branded bottle once,"Shampoo + Conditioner, Detergent + Fabric Softener, Hand Wash + Sanitizer","Citrus, Floral",No,10-20%,108.69,More than 4x,No
18-24,Male,Dubai,Entrepreneur,20000-40000,3-4,Undergraduate,Supermarket,Quarterly,"Fabric Softener, Body Wash, Surface Cleaner",100-200,Yes,No preference,3,2,5,No,4,4,No,5,No,3,Mobile App,Malls,Use disposable option,"Cooking Oil + Vinegar, Detergent + Fabric Softener, Hand Wash + Sanitizer","Unscented, Fresh Linen",Yes,>20%,109.9,Once,Yes
45-54,Female,Dubai,Student,20000-40000,5+,High School,Online,Monthly,"Body Wash, Hand Wash, Fabric Softener, Detergent, Shampoo",200-400,No,Glass,5,4,4,Yes,3,2,Yes,5,No,2,Mobile App,Petrol Stations,Bring my own,"Cooking Oil + Vinegar, Detergent + Fabric Softener","Unscented, Herbal",Yes,10-20%,105.9,More than 4x,No
55+,Female,Dubai,Professional,10000-20000,5+,Undergraduate,Hypermarket,Bi-weekly,"Fabric Softener, Surface Cleaner, Detergent",200-400,Occasionally,Aluminum,5,3,4,Yes,5,3,Yes,5,No,2,Mobile App,Supermarkets,Bring my own,"Hand Wash + Sanitizer, Cooking Oil + Vinegar","Floral, Herbal, Citrus",No,10-20%,58.03,Twice,Yes
35-44,Female,Abu Dhabi,Student,10000-20000,3-4,Postgraduate,Supermarket,Monthly,"Surface Cleaner, Fabric Softener, Sanitizer",200-400,Yes,Biodegradable,4,4,4,Yes,2,3,Yes,1,No,4,Mobile App,Petrol Stations,Use disposable option,"Detergent + Fabric Softener, Hand Wash + Sanitizer","Unscented, Fresh Linen, Citrus",Yes,5-10%,60.58,Weekly,Yes
25-34,Male,Dubai,Entrepreneur,<5000,3-4,High School,Local Store,Weekly,"Fabric Softener, Hand Wash, Detergent, Sanitizer, Body Wash",200-400,No,Glass,3,4,5,Yes,2,3,No,2,No,2,Mobile App,Malls,Bring my own,"Shampoo + Conditioner, Cooking Oil + Vinegar","Fresh Linen, Citrus",Maybe,10-20%,10.0,More than 4x,No
25-34,Female,Sharjah,Entrepreneur,20000-40000,3-4,Postgraduate,Hypermarket,Monthly,"Body Wash, Sanitizer, Hand Wash, Shampoo, Fabric Softener",50-100,Yes,Glass,4,2,5,Yes,4,3,Yes,4,No,4,Mobile App,Residential Lobbies,Bring my own,"Detergent + Fabric Softener, Shampoo + Conditioner, Hand Wash + Sanitizer","Herbal, Floral, Unscented",Yes,10-20%,116.36,More than 4x,Yes
35-44,Female,Dubai,Other,5000-10000,5+,Undergraduate,Supermarket,Weekly,"Body Wash, Hand Wash, Surface Cleaner, Shampoo, Conditioner",50-100,No,Glass,5,5,3,No,4,2,No,4,No,2,Subscription,Gyms,Bring my own,"Surface Cleaner + Air Freshener, Cooking Oil + Vinegar","Herbal, Citrus, Floral",No,10-20%,48.63,More than 4x,Yes
45-54,Female,Dubai,Student,10000-20000,5+,High School,Supermarket,Bi-weekly,"Conditioner, Hand Wash, Detergent, Surface Cleaner",100-200,Yes,Glass,5,2,4,Yes,3,3,No,5,Yes,2,Mobile App,Malls,Buy branded bottle once,"Hand Wash + Sanitizer, Surface Cleaner + Air Freshener","Citrus, Herbal",Yes,>20%,87.81,More than 4x,No
45-54,Female,Abu Dhabi,Student,5000-10000,1-2,High School,Supermarket,Monthly,"Cooking Oil, Sanitizer, Surface Cleaner, Detergent",50-100,Yes,No preference,5,4,5,Unsure,5,4,Yes,4,Yes,3,Card,Supermarkets,Buy branded bottle once,"Surface Cleaner + Air Freshener, Cooking Oil + Vinegar","Herbal, Unscented, Citrus",Yes,<5%,59.87,Weekly,Yes
45-54,Female,Sharjah,Professional,<5000,3-4,Undergraduate,Supermarket,Monthly,"Detergent, Hand Wash, Conditioner, Body Wash",200-400,Occasionally,Biodegradable,5,3,5,Yes,5,4,Yes,3,No,3,Mobile App,Gyms,Bring my own,"Cooking Oil + Vinegar, Hand Wash + Sanitizer, Shampoo + Conditioner","Herbal, Unscented",Yes,<5%,17.66,Weekly,Yes
35-44,Female,Dubai,Professional,10000-20000,3-4,Undergraduate,Supermarket,Bi-weekly,"Fabric Softener, Conditioner, Body Wash, Surface Cleaner",50-100,No,Plastic,3,3,5,Yes,4,2,Yes,2,No,4,Card,Malls,Bring my own,"Hand Wash + Sanitizer, Cooking Oil + Vinegar, Surface Cleaner + Air Freshener","Herbal, Floral",Yes,<5%,72.52,Twice,No
18-24,Male,Dubai,Professional,<5000,3-4,Postgraduate,Online,Bi-weekly,"Body Wash, Surface Cleaner, Conditioner",50-100,No,Plastic,3,5,3,Yes,4,5,Yes,2,No,5,Card,Malls,Buy branded bottle once,"Cooking Oil + Vinegar, Surface Cleaner + Air Freshener, Hand Wash + Sanitizer","Herbal, Floral, Unscented",No,10-20%,36.03,Twice,No
25-34,Female,Dubai,Other,20000-40000,1-2,Postgraduate,Supermarket,Monthly,"Cooking Oil, Body Wash, Sanitizer",100-200,Yes,Glass,4,5,5,Yes,3,3,Yes,2,Yes,3,Mobile App,Gyms,Use disposable option,"Cooking Oil + Vinegar, Hand Wash + Sanitizer, Shampoo + Conditioner","Herbal, Citrus",Maybe,5-10%,115.51,Weekly,No
45-54,Female,Sharjah,Professional,5000-10000,5+,Doctorate,Online,Bi-weekly,"Sanitizer, Surface Cleaner, Hand Wash",>400,Yes,Plastic,4,5,3,Yes,4,3,Yes,3,Yes,2,Cash,Residential Lobbies,Bring my own,"Shampoo + Conditioner, Hand Wash + Sanitizer, Cooking Oil + Vinegar","Herbal, Floral, Unscented",No,10-20%,51.71,Weekly,Yes
35-44,Male,Abu Dhabi,Professional,<5000,3-4,Undergraduate,Other,Monthly,"Conditioner, Fabric Softener, Body Wash",50-100,Yes,Aluminum,4,4,3,Yes,3,4,Yes,1,No,4,Mobile App,Malls,Use disposable option,"Shampoo + Conditioner, Surface Cleaner + Air Freshener, Detergent + Fabric Softener","Floral, Unscented",No,5-10%,18.94,Weekly,No
18-24,Female,Abu Dhabi,Entrepreneur,10000-20000,5+,Doctorate,Hypermarket,Weekly,"Sanitizer, Body Wash, Detergent, Surface Cleaner, Hand Wash",100-200,Occasionally,Plastic,5,4,4,Yes,3,2,Yes,3,No,4,Cash,Malls,Bring my own,"Hand Wash + Sanitizer, Surface Cleaner + Air Freshener, Cooking Oil + Vinegar","Unscented, Citrus",No,10-20%,75.39,More than 4x,No
18-24,Female,Sharjah,Professional,<5000,5+,Undergraduate,Local Store,Monthly,"Hand Wash, Surface Cleaner, Fabric Softener, Conditioner",100-200,Occasionally,Glass,4,5,5,Yes,5,5,No,2,No,4,Mobile App,Residential Lobbies,Bring my own,"Cooking Oil + Vinegar, Surface Cleaner + Air Freshener","Unscented, Herbal, Fresh Linen",Yes,5-10%,25.84,Weekly,Yes
35-44,Female,Sharjah,Entrepreneur,5000-10000,3-4,Undergraduate,Supermarket,Monthly,"Detergent, Hand Wash, Fabric Softener",<50,No,Plastic,3,3,3,Yes,3,4,Yes,2,Yes,2,Card,Supermarkets,Bring my own,"Detergent + Fabric Softener, Cooking Oil + Vinegar, Surface Cleaner + Air Freshener","Citrus, Floral",Yes,>20%,46.51,Once,No
18-24,Female,Abu Dhabi,Student,20000-40000,3-4,High School,Online,Weekly,"Conditioner, Fabric Softener, Hand Wash, Body Wash, Cooking Oil",100-200,Yes,Plastic,4,3,5,Yes,5,5,No,2,No,3,Subscription,Malls,Bring my own,"Surface Cleaner + Air Freshener, Cooking Oil + Vinegar, Hand Wash + Sanitizer","Citrus, Herbal, Floral",Yes,10-20%,130.66,Weekly,Yes
25-34,Male,Ajman,Professional,<5000,3-4,High School,Online,Bi-weekly,"Detergent, Shampoo, Fabric Softener",200-400,Occasionally,Biodegradable,4,3,4,No,5,2,No,4,No,5,Mobile App,Supermarkets,Bring my own,"Cooking Oil + Vinegar, Hand Wash + Sanitizer, Surface Cleaner + Air Freshener","Fresh Linen, Herbal, Unscented",Maybe,>20%,16.36,Weekly,Yes
35-44,Prefer not to say,Dubai,Student,20000-40000,1-2,Postgraduate,Supermarket,Weekly,"Cooking Oil, Body Wash, Hand Wash, Conditioner, Shampoo",100-200,No,Glass,3,4,4,Unsure,5,2,No,1,No,4,Cash,Malls,Use disposable option,"Hand Wash + Sanitizer, Surface Cleaner + Air Freshener, Shampoo + Conditioner","Herbal, Fresh Linen, Floral",Yes,10-20%,121.15,Weekly,Yes
35-44,Female,Dubai,Student,<5000,3-4,Undergraduate,Supermarket,Monthly,"Cooking Oil, Sanitizer, Fabric Softener",200-400,No,No preference,3,2,3,Yes,4,2,No,3,No,2,Cash,Gyms,Bring my own,"Shampoo + Conditioner, Cooking Oil + Vinegar","Unscented, Citrus, Floral",Yes,5-10%,42.84,More than 4x,Yes
35-44,Male,Dubai,Other,5000-10000,1-2,Undergraduate,Hypermarket,Bi-weekly,"Sanitizer, Surface Cleaner, Detergent, Cooking Oil",50-100,Yes,Biodegradable,5,3,4,Yes,5,4,Yes,2,No,3,Subscription,Supermarkets,Bring my own,"Surface Cleaner + Air Freshener, Cooking Oil + Vinegar","Unscented, Floral, Citrus",No,5-10%,53.11,Weekly,Yes
25-34,Female,Dubai,Student,20000-40000,3-4,Undergraduate,Hypermarket,Monthly,"Sanitizer, Shampoo, Fabric Softener, Detergent",<50,Occasionally,Glass,3,3,4,Unsure,3,2,Yes,5,No,3,Card,Supermarkets,Bring my own,"Cooking Oil + Vinegar, Surface Cleaner + Air Freshener, Detergent + Fabric Softener","Fresh Linen, Herbal, Floral",Maybe,>20%,112.03,More than 4x,No
35-44,Female,Abu Dhabi,Professional,5000-10000,1-2,Undergraduate,Online,Weekly,"Hand Wash, Body Wash, Cooking Oil",>400,No,Plastic,3,3,4,Yes,4,4,Yes,1,No,5,Card,Supermarkets,Buy branded bottle once,"Cooking Oil + Vinegar, Shampoo + Conditioner, Detergent + Fabric Softener","Unscented, Herbal, Floral",No,10-20%,53.48,Weekly,Yes
25-34,Female,Ajman,Professional,<5000,1-2,Undergraduate,Online,Bi-weekly,"Conditioner, Shampoo, Detergent, Hand Wash",100-200,Occasionally,Biodegradable,4,5,5,Unsure,3,4,Yes,5,No,4,Cash,Residential Lobbies,Use disposable option,"Hand Wash + Sanitizer, Surface Cleaner + Air Freshener","Citrus, Herbal",Maybe,<5%,49.32,Weekly,Yes
25-34,Female,Dubai,Professional,5000-10000,1-2,Undergraduate,Online,Weekly,"Body Wash, Detergent, Surface Cleaner, Cooking Oil, Shampoo",100-200,Occasionally,No preference,3,4,5,Yes,4,3,No,1,Yes,2,Mobile App,Gyms,Bring my own,"Cooking Oil + Vinegar, Detergent + Fabric Softener, Shampoo + Conditioner","Herbal, Floral",No,10-20%,50.39,Weekly,Yes
35-44,Male,Dubai,Homemaker,5000-10000,1-2,Postgraduate,Supermarket,Bi-weekly,"Body Wash, Fabric Softener, Detergent, Cooking Oil, Surface Cleaner",200-400,Yes,Biodegradable,5,5,3,No,3,4,No,2,Yes,3,Mobile App,Residential Lobbies,Bring my own,"Shampoo + Conditioner, Hand Wash + Sanitizer, Detergent + Fabric Softener","Unscented, Floral",Yes,10-20%,57.94,Once,Yes
35-44,Male,Abu Dhabi,Student,20000-40000,3-4,Postgraduate,Supermarket,Monthly,"Hand Wash, Sanitizer, Shampoo, Body Wash",50-100,Occasionally,Plastic,4,5,3,Yes,2,4,Yes,1,No,2,Card,Supermarkets,Bring my own,"Shampoo + Conditioner, Surface Cleaner + Air Freshener, Hand Wash + Sanitizer","Unscented, Herbal",Maybe,5-10%,120.05,Once,No
45-54,Male,Ajman,Entrepreneur,5000-10000,3-4,Undergraduate,Supermarket,Monthly,"Fabric Softener, Surface Cleaner, Shampoo",200-400,Occasionally,No preference,5,2,4,Unsure,2,3,Yes,1,Yes,3,Card,Malls,Buy branded bottle once,"Hand Wash + Sanitizer, Surface Cleaner + Air Freshener","Citrus, Floral, Unscented",Maybe,5-10%,52.75,Once,No
35-44,Female,Dubai,Other,20000-40000,3-4,Undergraduate,Supermarket,Monthly,"Detergent, Body Wash, Cooking Oil, Surface Cleaner, Sanitizer",50-100,Yes,Plastic,3,5,4,Yes,2,5,Yes,2,Yes,4,Mobile App,Malls,Bring my own,"Surface Cleaner + Air Freshener, Shampoo + Conditioner","Herbal, Floral, Fresh Linen",Yes,>20%,119.22,Weekly,No
35-44,Male,Abu Dhabi,Professional,20000-40000,1-2,Undergraduate,Other,Bi-weekly,"Shampoo, Body Wash, Conditioner",50-100,Yes,Biodegradable,5,2,3,Yes,3,3,Yes,5,No,4,Card,Residential Lobbies,Buy branded bottle once,"Surface Cleaner + Air Freshener, Cooking Oil + Vinegar, Detergent + Fabric Softener","Citrus, Floral, Unscented",Yes,<5%,109.82,Twice,Yes
